Date,Predicted Value
2014-12-01,30.434573118057244
2014-12-02,31.6556054974603
2014-12-03,18.306380518776308
2014-12-04,31.435899391378143
2014-12-05,23.818158134077464
2014-12-06,21.34638908501671
2014-12-07,22.959651383925433
2014-12-08,24.902481542727912
2014-12-09,20.058072495688293
2014-12-10,18.53616070747472
2014-12-11,19.50709979602496
2014-12-12,21.959088415498798
2014-12-13,25.625546187638918
2014-12-14,24.562401856164087
2014-12-15,27.906888892431454
2014-12-16,17.042749260286286
2014-12-17,23.646114214648605
2014-12-18,26.085201368428358
2014-12-19,25.600494984844175
2014-12-20,25.383613335298406
2014-12-21,15.022009798849211
2014-12-22,13.784884886419206
2014-12-23,14.20392990104483
2014-12-24,16.89665034517276
2014-12-25,30.401744508138876
2014-12-26,34.00289193584615
2014-12-27,26.726799475024364
2014-12-28,27.750191228321455
2014-12-29,30.477620691319657
2014-12-30,29.754506065017353
2014-12-31,25.711734118932753
